Coin ID,Symbol,Name,Market Cap (USD),FDV (USD),24H Volume (USD)
immutable-x,imx,Immutable,984410769,1014888850.0,34808675.0
morpho,morpho,Morpho,964334047,1844243337.0,44261669.0
mantle-staked-ether,meth,Mantle Staked Ether,962860735,962860735.0,3311188.0
pancakeswap-token,cake,PancakeSwap,929966775,969988616.0,318472812.0
jupiter-staked-sol,jupsol,Jupiter Staked SOL,923647257,923647257.0,18025535.0
global-dollar,usdg,Global Dollar,918591265,918591265.0,23760017.0
spx6900,spx,SPX6900,909159669,909159669.0,49619618.0
doublezero,2z,DoubleZero,899983802,2592554200.0,90943820.0
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),877918886,877918886.0,263215000.0
ripple-usd,rlusd,Ripple USD,873875087,873875087.0,101196279.0
fasttoken,ftn,Fasttoken,871826467,1751110933.0,25857221.0
clbtc,clbtc,clBTC,835053886,835053886.0,5.96
injective-protocol,inj,Injective,826778787,846006654.0,102265595.0
celestia,tia,Celestia,824882652,1152058663.0,86385528.0
lido-dao,ldo,Lido DAO,805885041,899657409.0,134759411.0
ousg,ousg,OUSG,787436662,787436662.0,0.0
msol,msol,Marinade Staked SOL,780112713,780112713.0,9140362.0
blockstack,stx,Stacks,773414209,773414209.0,22881291.0
optimism,op,Optimism,772754553,1866013358.0,151040050.0
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),765473243,765473243.0,0.0
curve-dao-token,crv,Curve DAO,755373094,1234448169.0,192213148.0
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,744598404,744598404.0,93.48
aerodrome-finance,aero,Aerodrome Finance,716270448,1403762358.0,47180943.0
floki,floki,FLOKI,714057728,739288499.0,213193446.0
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),706282807,706282807.0,1015225769.0
plasma,xpl,Plasma,694042025,3855789026.0,326189051.0
usdx-money-usdx,usdx,Stables Labs USDX,682538738,682538738.0,72630.0
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,681543971,682037062.0,232107.0
the-graph,grt,The Graph,669909627,685346170.0,33426929.0
fetch-ai,fet,Artificial Superintelligence Alliance,637569689,664378574.0,153886101.0
sonic-3,s,Sonic,634126737,651002346.0,84596558.0
pyth-network,pyth,Pyth Network,633970260,1102560223.0,41141053.0
tbtc,tbtc,tBTC,626347220,626347220.0,82978827.0
tezos,xtz,Tezos,624823390,636620154.0,22150238.0
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),624741586,624741586.0,699037457.0
kaia,kaia,Kaia,619274248,619274268.0,31779313.0
beldex,bdx,Beldex,596909980,793377019.0,10375411.0
stader-ethx,ethx,Stader ETHx,594267104,594267104.0,543588.0
gteth,gteth,GTETH,593835018,593835018.0,189774.0
saros-finance,saros,Saros,590430068,2249257552.0,5957456.0
usdai,usdai,USDai,589689903,589689903.0,7319066.0
iota,iota,IOTA,583769103,673625256.0,16488975.0
newton-project,ab,AB,574066057,682120435.0,17263307.0
dash,dash,Dash,568026987,568043061.0,181994083.0
ether-fi,ethfi,Ether.fi,566964749,1007263976.0,108609733.0
conflux-token,cfx,Conflux,561759198,624295057.0,26898752.0
theta-token,theta,Theta Network,556502647,556502647.0,30356353.0
myx-finance,myx,MYX Finance,553136979,2899512781.0,63305724.0
usual-usd,usd0,Usual USD,545033601,545033601.0,8269250.0
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,533392991,1586625090.0,22002168.0
pendle,pendle,Pendle,530937270,884947480.0,70671881.0
polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),530047402,530047402.0,61273416.0
dogwifcoin,wif,dogwifhat,529746852,529746852.0,246984112.0
starknet,strk,Starknet,518410968,1200421263.0,69079722.0
sweth,sweth,Swell Ethereum,517208213,517222633.0,151706.0
trust-wallet-token,twt,Trust Wallet,517064316,1241004296.0,42284949.0
bridged-usdc-polygon-pos-bridge,usdc.e,Polygon Bridged USDC (Polygon PoS),515750064,515750064.0,27531863.0
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),510196518,510196518.0,5320178.0
virtual-protocol,virtual,Virtuals Protocol,510102397,777861188.0,101949216.0
gala,gala,GALA,507379954,507379954.0,91879925.0
the-sandbox,sand,The Sandbox,507020943,621893574.0,48503653.0
ethereum-name-service,ens,Ethereum Name Service,506539408,1527304304.0,71468095.0
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),504757299,504757299.0,56562847.0
havven,snx,Synthetix,502568166,503188036.0,186063389.0
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,499493247,499493247.0,7898541.0
bittorrent,btt,BitTorrent,496463085,498446225.0,19836984.0
true-usd,tusd,TrueUSD,492893039,492893039.0,7999602.0
steakhouse-usdc-morpho-vault,steakusdc,Steakhouse USDC Morpho Vault,492305850,492305850.0,0.0
jasmycoin,jasmy,JasmyCoin,482955777,498715177.0,39155411.0
usdd,usdd,USDD,480439212,480439212.0,8503105.0
raydium,ray,Raydium,476529970,986293443.0,52139151.0
ether-fi-staked-eth,eeth,ether.fi Staked ETH,473047066,10834709872.0,14602.98
mantle-restaked-eth,cmeth,Mantle Restaked ETH,469169287,469169287.0,12849766.0
swissborg,borg,SwissBorg,461909544,461909544.0,1796497.0
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,459720498,459720498.0,1729106.0
vaulta,a,Vaulta,452995268,595088089.0,49666146.0
arbitrum-bridged-wrapped-eeth,weeth,Arbitrum Bridged Wrapped eETH (Arbitrum),451839160,451839160.0,596175.0
sun-token,sun,Sun Token,449882665,466974700.0,38773451.0
decentraland,mana,Decentraland,446779850,510572084.0,40416045.0
aethir,ath,Aethir,441932581,1303935241.0,86564208.0
zora,zora,Zora,436336621,976144565.0,214248144.0
flow,flow,Flow,435953079,435953079.0,9177577.0
astherus-staked-bnb,asbnb,Aster Staked BNB,435048350,435048350.0,196251.0
bitcoin-cash-sv,bsv,Bitcoin SV,424718483,424719548.0,17050251.0
gho,gho,GHO,422557128,422557128.0,31171312.0
jito-governance-token,jto,Jito,420341448,1073186748.0,33806936.0
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),418982468,418982468.0,18305709.0
eigenlayer,eigen,EigenCloud (prev. EigenLayer),417906817,1894327669.0,115229372.0
frax-ether,frxeth,Frax Ether,415912076,415912076.0,782886.0
hashnote-usyc,usyc,Circle USYC,414726753,414726753.0,1.1
apenft,nft,APENFT,408216146,412291406.0,6052897.0
usdb,usdb,USDB,404241043,404241043.0,853013.0
syrupusdt,syrupusdt,syrupUSDT,401315068,401315068.0,1210049.0
vision-3,vsn,Vision,399977490,504397877.0,2576935.0
syrup,syrup,Maple Finance,395122177,429954295.0,33353441.0
zero-gravity,0g,0G,394619578,1850938521.0,92462960.0
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,384872265,384872265.0,0.0
dexe,dexe,DeXe,376413295,636133329.0,19640067.0
olympus,ohm,Olympus,374401729,479514650.0,442898.0
savings-dai,sdai,Savings Dai,372444549,372444549.0,398749.0
telcoin,tel,Telcoin,367868840,386915794.0,2702438.0
ai-companions,aic,AI Companions,366988644,366988644.0,9634807.0
falcon-finance-ff,ff,Falcon Finance,366541315,1566415874.0,170419349.0
fartcoin,fartcoin,Fartcoin,363967727,363967727.0,139423436.0
neo,neo,NEO,360570696,511230251.0,28766161.0
apecoin,ape,ApeCoin,359565424,395707454.0,73166153.0
compound-governance-token,comp,Compound,356420111,366603680.0,42756773.0
satoshi-stablecoin,satusd,Satoshi Stablecoin,354271837,354271837.0,460127.0
unit-bitcoin,ubtc,Unit Bitcoin,354144567,2272404959113.0,141678516.0
instadapp,fluid,Fluid,353195475,460169803.0,11445517.0
wormhole,w,Wormhole,351165098,728074075.0,40331544.0
reserve-rights-token,rsr,Reserve Rights,350178485,577780564.0,30628221.0
reserve-protocol-eth-plus,eth+,ETHPlus,349654169,349654169.0,948430.0
ethena-staked-ena,sena,Ethena Staked ENA,349448834,349448834.0,303901.0
merlin-chain,merl,Merlin Chain,349084448,748833732.0,82031582.0
zebec-network,zbcn,Zebec Network,348701228,367715954.0,22753254.0
helium,hnt,Helium,348001961,416508364.0,12226728.0
walrus-2,wal,Walrus,347472748,1174721222.0,464217186.0
origintrail,trac,OriginTrail,343022660,343333751.0,7708504.0
ape-and-pepe,apepe,Ape and Pepe,338950312,338950312.0,9955366.0
reservoir-srusd,srusd,Reservoir srUSD,337173524,337173524.0,140.93
wrapped-avax,wavax,Wrapped AVAX,334313196,334313196.0,254388826.0
loaded-lions,lion,Loaded Lions,332257720,1084973004.0,1062325.0
wrapped-hype,whype,Wrapped HYPE,331087035,331087035.0,202155464.0
just,jst,JUST,330368259,330368259.0,30314878.0
gnosis,gno,Gnosis,327201931,371878271.0,14598535.0
kinetiq-earn-vault,vkhype,Kinetiq Earn Vault,325316396,325316396.0,2826205.0
chiliz,chz,Chiliz,322376030,322376030.0,46237410.0
bybit-staked-sol,bbsol,Bybit Staked SOL,318846149,318846149.0,1187479.0
wrapped-ether-mantle-bridge,weth,Mantle Bridged WETH (Mantle),317959445,317959445.0,6715302.0
drift-staked-sol,dsol,Drift Staked SOL,317351587,317351587.0,43063.0
chain-2,xcn,Onyxcoin,314009568,425105791.0,19480808.0
binance-peg-busd,busd,Binance-Peg BUSD,312813808,312813808.0,4662583.0
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,312080070,312080070.0,7513578.0
solv-protocol-solvbtc-bbn,xsolvbtc,Solv Protocol Staked BTC,308244571,308244571.0,81263.0
useless-3,useless,Useless Coin,305542012,305542012.0,108164406.0
ark-3,ark,ARK,301150973,301150973.0,9841909.0
treehouse-eth,teth,Treehouse ETH,299137500,299137500.0,708655.0
toshi,toshi,Toshi,298434480,298434480.0,44765613.0
thorchain,rune,THORChain,298081093,360922915.0,70589956.0
bianrensheng,币安人生,币安人生 (BinanceLife),295772715,295772715.0,78772424.0
frax,frax,Legacy Frax Dollar,295122889,295122889.0,6010057.0
cheems-token,cheems,Cheems Token,292046232,292046232.0,1748919.0
staked-frax-ether,sfrxeth,Staked Frax Ether,290422911,290422911.0,281076.0
resolv-usr,usr,Resolv USR,290310800,290310800.0,697038.0
wemix-token,wemix,WEMIX,288540089,345479412.0,2826971.0
ecash,xec,eCash,286307377,286307915.0,8860137.0
tribe-2,tribe,Tribe,286006625,628564534.0,88810.0
cap-usd,cusd,Cap USD,283404513,283404513.0,18985.03
elrond-erd-2,egld,MultiversX,280279904,280279904.0,19153917.0
four,form,Four,279766152,419283676.0,58463145.0
staked-stream-usd,xusd,Staked Stream USD,279322791,279322791.0,92942.0
midas-mhyper,mhyper,Midas mHYPER,275661862,275661862.0,0.0
decred,dcr,Decred,274485903,274493094.0,4648806.0
ibc-bridged-usdc,usdc.n,Noble USDC,274407661,274407661.0,1500909.0
euro-coin,eurc,EURC,273545890,273545890.0,51670481.0
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),273381182,273381182.0,9959606.0
crvusd,crvusd,crvUSD,270461481,270461481.0,110974146.0
usdx-money-staked-usdx,susdx,Stables Labs Staked USDX,265657641,265657641.0,729.56
humanity,h,Humanity,265408388,1454292537.0,41599724.0
axie-infinity,axs,Axie Infinity,262434393,425122793.0,32830393.0
